filename,type,start,end,name,contig
NC_000962.3/Rv3837c+pheA+IGR:4312669-4312764.fa,merged_feature_and_igr,4311008,4312764,Rv3837c+pheA+IGR:4312669-4312764,NC_000962.3
NC_000962.3/Rv0694+IGR:794525-794714.fa,merged_feature_and_igr,793334,794714,Rv0694+IGR:794525-794714,NC_000962.3
NC_000962.3/rpoC+IGR:767320-767683.fa,merged_feature_and_igr,763369,767683,rpoC+IGR:767320-767683,NC_000962.3
NC_000962.3/sugC+IGR:1381865-1381941.fa,merged_feature_and_igr,1380683,1381941,sugC+IGR:1381865-1381941,NC_000962.3
NC_000962.3/vapC48+vapB48+IGR:4140463-4140492.fa,merged_feature_and_igr,4139804,4140492,vapC48+vapB48+IGR:4140463-4140492,NC_000962.3
NC_000962.3/fadA2+IGR:293493-293603+F6+IGR:293705-293797.fa,merged_feature_and_igr,292170,293797,fadA2+IGR:293493-293603+F6+IGR:293705-293797,NC_000962.3
NC_000962.3/pepQ+IGR:2860418-2860451.fa,merged_feature_and_igr,2859299,2860451,pepQ+IGR:2860418-2860451,NC_000962.3
NC_000962.3/nei+IGR:3682087-3682109.fa,merged_feature_and_igr,3681319,3682109,nei+IGR:3682087-3682109,NC_000962.3
NC_000962.3/fgd1+pta+ackA+IGR:495008-495061.fa,merged_feature_and_igr,490782,495061,fgd1+pta+ackA+IGR:495008-495061,NC_000962.3
NC_000962.3/mce3F+IGR:2216570-2216591.fa,merged_feature_and_igr,2215256,2216591,mce3F+IGR:2216570-2216591,NC_000962.3
NC_000962.3/glyS+IGR:2641064-2641245.fa,merged_feature_and_igr,2639672,2641245,glyS+IGR:2641064-2641245,NC_000962.3
NC_000962.3/Rv1178+IGR:1310452-1310479.fa,merged_feature_and_igr,1309363,1310479,Rv1178+IGR:1310452-1310479,NC_000962.3
NC_000962.3/Rv3720+dnaZX+IGR:4166731-4166820.fa,merged_feature_and_igr,4163735,4166820,Rv3720+dnaZX+IGR:4166731-4166820,NC_000962.3
NC_000962.3/lppL+IGR:2398406-2398719.fa,merged_feature_and_igr,2397329,2398719,lppL+IGR:2398406-2398719,NC_000962.3
NC_000962.3/leuD+IGR:3344629-3344653.fa,merged_feature_and_igr,3344032,3344653,leuD+IGR:3344629-3344653,NC_000962.3
NC_000962.3/Rv2319c+rocE.fa,merged_features,2591847,2594153,Rv2319c+rocE,NC_000962.3
NC_000962.3/rbsK+IGR:2734144-2734375.fa,merged_feature_and_igr,2733229,2734375,rbsK+IGR:2734144-2734375,NC_000962.3
NC_000962.3/Rv1097c+fum+IGR:1227565-1227595.fa,merged_feature_and_igr,1225262,1227595,Rv1097c+fum+IGR:1227565-1227595,NC_000962.3
NC_000962.3/Rv3195+IGR:3565782-3565787.fa,merged_feature_and_igr,3564363,3565787,Rv3195+IGR:3565782-3565787,NC_000962.3
NC_000962.3/Rv3179+IGR:3548907-3549253+Rv3180c+IGR:3549688-3549690+Rv3181c+IGR:3550143-3550373.fa,merged_feature_and_igr,3547617,3550373,Rv3179+IGR:3548907-3549253+Rv3180c+IGR:3549688-3549690+Rv3181c+IGR:3550143-3550373,NC_000962.3
NC_000962.3/Rv3013+IGR:3372471-3372544.fa,merged_feature_and_igr,3371814,3372544,Rv3013+IGR:3372471-3372544,NC_000962.3
NC_000962.3/ureD+IGR:2101648-2101650.fa,merged_feature_and_igr,2101021,2101650,ureD+IGR:2101648-2101650,NC_000962.3
NC_000962.3/Rv0312+IGR:382418-382489+Rv0313+IGR:382876-382878.fa,merged_feature_and_igr,380555,382878,Rv0312+IGR:382418-382489+Rv0313+IGR:382876-382878,NC_000962.3
NC_000962.3/Rv3654c+Rv3655c+IGR:4095300-4095323+Rv3656c+IGR:4095530-4095539.fa,merged_feature_and_igr,4094659,4095539,Rv3654c+Rv3655c+IGR:4095300-4095323+Rv3656c+IGR:4095530-4095539,NC_000962.3
NC_000962.3/PE_PGRS37.fa,feature,2387201,2387972,PE_PGRS37,NC_000962.3
NC_000962.3/kshA+IGR:3963599-3963604+Rv3527+IGR:3964054-3964478.fa,merged_feature_and_igr,3962438,3964478,kshA+IGR:3963599-3963604+Rv3527+IGR:3964054-3964478,NC_000962.3
NC_000962.3/eccD4+mycP4+eccB4+IGR:3872496-3872616.fa,merged_feature_and_igr,3868351,3872616,eccD4+mycP4+eccB4+IGR:3872496-3872616,NC_000962.3
NC_000962.3/Rv0481c+IGR:570512-570538.fa,merged_feature_and_igr,569987,570538,Rv0481c+IGR:570512-570538,NC_000962.3
